city,city_ibge_code,confirmed,confirmed_per_100k_inhabitants,date,death_rate,deaths,estimated_population,estimated_population_2019,is_last,order_for_place,place_type,state,media_movel,variacao_semanal
Bom Retiro do Sul,4302402.0,2012,16238.90234,2022-03-24,0.0199,40,12390.0,12328.0,True,650,city,RS,1288.2857142857142,0.22907758094074526
Boqueirão do Leão,4302451.0,708,9192.41755,2022-03-24,0.0494,35,7702.0,7714.0,True,566,city,RS,1337.857142857143,0.9612188365650969
Bossoroca,4302501.0,600,9669.62127,2022-03-24,0.0367,22,6205.0,6279.0,True,597,city,RS,1332.2857142857142,-0.06103286384976525
Bozano,4302584.0,511,24206.53719,2022-03-24,0.0157,8,2111.0,2123.0,True,546,city,RS,1327.7142857142858,-0.05893186003683237
Braga,4302600.0,682,20598.00664,2022-03-24,0.0147,10,3311.0,3353.0,True,606,city,RS,1178.7142857142858,-0.6046376811594203
Brochier,4302659.0,1071,20983.54232,2022-03-24,0.0065,7,5104.0,5074.0,True,614,city,RS,841.4285714285714,-0.6879370629370629
Butiá,4302709.0,3026,14442.53532,2022-03-24,0.0212,64,20952.0,20941.0,True,619,city,RS,1230.0,8.88888888888889
Caçapava do Sul,4302808.0,6597,19664.36151,2022-03-24,0.0155,102,33548.0,33624.0,True,624,city,RS,1885.0,2.2788270377733597
Cacequi,4302907.0,1387,11164.77501,2022-03-24,0.0115,16,12423.0,12561.0,True,577,city,RS,1982.0,0.9590395480225988
Cachoeira do Sul,4303004.0,17288,21116.66198,2022-03-24,0.0134,232,81869.0,82201.0,True,663,city,RS,4366.0,27.813333333333333
Cachoeirinha,4303103.0,19891,15156.20238,2022-03-24,0.0266,529,131240.0,130293.0,True,659,city,RS,7134.571428571428,37.92563600782779
Cacique Doble,4303202.0,1142,22506.89791,2022-03-24,0.0123,14,5074.0,5065.0,True,601,city,RS,7200.285714285715,0.6744868035190617
Caibaté,4303301.0,522,10823.13913,2022-03-24,0.0153,8,4823.0,4846.0,True,614,city,RS,7121.857142857143,-0.5126050420168067
Caiçara,4303400.0,1046,22255.31915,2022-03-24,0.0115,12,4700.0,4743.0,True,578,city,RS,6839.0,-0.6543291473892928
Camaquã,4303509.0,8992,13526.27937,2022-03-24,0.0202,182,66478.0,66261.0,True,666,city,RS,7181.142857142857,0.3630438077914204
Camargo,4303558.0,661,24106.49161,2022-03-24,0.0121,8,2742.0,2733.0,True,614,city,RS,7077.428571428572,-0.5234318673395819
Cambará do Sul,4303608.0,408,6369.02904,2022-03-24,0.0294,12,6406.0,6431.0,True,593,city,RS,4666.0,-0.976399814900509
Campestre da Serra,4303673.0,500,14727.5405,2022-03-24,0.008,4,3395.0,3388.0,True,635,city,RS,1895.857142857143,-0.9748630033683575
Campina das Missões,4303707.0,1183,21915.52427,2022-03-24,0.0093,11,5398.0,5474.0,True,566,city,RS,1901.7142857142858,0.0359019264448337
Campinas do Sul,4303806.0,1345,24733.35785,2022-03-24,0.0052,7,5438.0,5454.0,True,637,city,RS,2019.2857142857142,1.5766283524904217
Campo Bom,4303905.0,16918,24357.16548,2022-03-24,0.0166,280,69458.0,66712.0,True,677,city,RS,4286.714285714285,15.173996175908222
