city,city_ibge_code,confirmed,confirmed_per_100k_inhabitants,date,death_rate,deaths,estimated_population,estimated_population_2019,is_last,order_for_place,place_type,state
Cacique Doble,4303202,1142,22506.89791,2022-03-24,0.0123,14,5074.0,5065.0,True,601,city,RS
Caibaté,4303301,522,10823.13913,2022-03-24,0.0153,8,4823.0,4846.0,True,614,city,RS
Caiçara,4303400,1046,22255.31915,2022-03-24,0.0115,12,4700.0,4743.0,True,578,city,RS
Camaquã,4303509,8992,13526.27937,2022-03-24,0.0202,182,66478.0,66261.0,True,666,city,RS
Camargo,4303558,661,24106.49161,2022-03-24,0.0121,8,2742.0,2733.0,True,614,city,RS
Cambará do Sul,4303608,408,6369.02904,2022-03-24,0.0294,12,6406.0,6431.0,True,593,city,RS
Campestre da Serra,4303673,500,14727.5405,2022-03-24,0.008,4,3395.0,3388.0,True,635,city,RS
Campina das Missões,4303707,1183,21915.52427,2022-03-24,0.0093,11,5398.0,5474.0,True,566,city,RS
Campinas do Sul,4303806,1345,24733.35785,2022-03-24,0.0052,7,5438.0,5454.0,True,637,city,RS
Campo Bom,4303905,16918,24357.16548,2022-03-24,0.0166,280,69458.0,66712.0,True,677,city,RS
Campo Novo,4304002,1221,27902.19378,2022-03-24,0.0188,23,4376.0,4484.0,True,607,city,RS
Campos Borges,4304101,886,26889.2261,2022-03-24,0.0147,13,3295.0,3320.0,True,558,city,RS
Candelária,4304200,5607,17844.75351,2022-03-24,0.0155,87,31421.0,31365.0,True,644,city,RS
Cândido Godói,4304309,1169,19005.03983,2022-03-24,0.0043,5,6151.0,6198.0,True,579,city,RS
Candiota,4304358,2433,25220.27573,2022-03-24,0.0074,18,9647.0,9584.0,True,632,city,RS
Canela,4304408,10200,22423.49631,2022-03-24,0.0202,206,45488.0,44998.0,True,605,city,RS
Canguçu,4304507,8123,14450.90819,2022-03-24,0.015,122,56211.0,56045.0,True,662,city,RS
Canoas,4304606,66955,19228.44966,2022-03-24,0.0267,1790,348208.0,346616.0,True,669,city,RS
Canudos do Vale,4304614,238,13958.94428,2022-03-24,0.0252,6,1705.0,1716.0,True,627,city,RS
Capão Bonito do Sul,4304622,528,32175.50274,2022-03-24,0.0114,6,1641.0,1654.0,True,545,city,RS
Capão da Canoa,4304630,16117,29818.13472,2022-03-24,0.0151,244,54051.0,53049.0,True,667,city,RS
Capão do Cipó,4304655,563,15220.32982,2022-03-24,0.0107,6,3699.0,3651.0,True,582,city,RS
Capão do Leão,4304663,4862,19134.95218,2022-03-24,0.0191,93,25409.0,25354.0,True,659,city,RS
Capela de Santana,4304689,2007,16636.27321,2022-03-24,0.0159,32,12064.0,11940.0,True,600,city,RS
Capitão,4304697,688,24900.4705,2022-03-24,0.0044,3,2763.0,2757.0,True,618,city,RS
Capivari do Sul,4304671,1453,30731.81049,2022-03-24,0.0062,9,4728.0,4660.0,True,560,city,RS
Caraá,4304713,1269,15197.60479,2022-03-24,0.0221,28,8350.0,8270.0,True,592,city,RS
Carazinho,4304705,16918,27170.96282,2022-03-24,0.0174,294,62265.0,62110.0,True,640,city,RS
Carlos Barbosa,4304804,7233,23917.85986,2022-03-24,0.0084,61,30241.0,29833.0,True,669,city,RS
Carlos Gomes,4304853,197,14581.79127,2022-03-24,0.0051,1,1351.0,1377.0,True,555,city,RS
Casca,4304903,1911,21113.6891,2022-03-24,0.0115,22,9051.0,9031.0,True,614,city,RS
